Comment,Designator,Footprint,LCSC,Quantity
PWR_OUT1,F1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
PWR_OUT2,F2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
