Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,PWR_OUT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,51.5,-47.0,-90.0,top
F2,PWR_OUT2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,60.55,-47.0,90.0,top
